"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Cobb County, Georgia","13067",739072,47842,132594,67753,106541,108057,108029,47567,15696,23586,52097,29310,284277,40959,90366,32327,31898,21580,22757,11278,3672,5341,14243,9856,325276,5470,33673,25507,46836,53851,60421,28368,9426,14533,31118,16073,12597,458,1905,1343,2749,2549,1631,657,256,354,423,272,116922,955,6650,8576,25058,30077,23220,7264,2342,3358,6313,3109
"Gilmer County, Georgia","13123",29614,1588,4422,2045,3061,3276,3947,2109,969,1528,4225,2444,17498,1446,3403,1323,1607,1787,2137,1221,406,849,1868,1451,9983,142,880,550,919,981,1436,752,484,591,2274,974,187,0,48,0,13,24,13,36,32,21,0,0,1946,0,91,172,522,484,361,100,47,67,83,19
"Dade County, Georgia","13083",16282,780,2344,2015,1702,2101,2133,1128,560,634,1760,1125,5356,414,997,527,562,471,780,319,91,181,616,398,10432,366,1253,1475,1120,1465,1277,799,452,439,1065,721,142,0,75,0,17,15,19,0,9,7,0,0,352,0,19,13,3,150,57,10,8,7,79,6
"Walton County, Georgia","13297",88695,5525,17017,7773,10107,11526,13113,5813,2108,2708,8061,4944,60589,4923,14060,6086,6879,7476,7842,3221,1303,1581,4339,2879,23279,355,2522,1349,2479,3145,4304,2290,623,1007,3411,1794,998,247,77,127,70,83,173,60,22,69,17,53,3829,0,358,211,679,822,794,242,160,51,294,218
"Wilkes County, Georgia","13317",9905,525,1514,887,1004,976,1359,777,252,418,1257,936,7951,478,1350,718,776,761,1129,596,142,343,901,757,1481,40,114,50,103,177,200,166,90,60,322,159,58,7,0,0,3,9,11,5,0,0,23,0,415,0,50,119,122,29,19,10,20,15,11,20
"Brooks County, Georgia","13027",15629,881,2516,1198,1758,1804,2236,1137,419,720,1726,1234,10538,797,1954,891,1001,1070,1327,760,244,490,1078,926,4396,84,562,288,666,519,721,305,159,217,619,256,82,0,0,0,37,21,0,0,0,0,0,24,613,0,0,19,54,194,188,72,16,13,29,28
"Dodge County, Georgia","13091",21063,1111,3200,1878,2748,2870,3005,1525,585,716,2001,1424,17912,1090,2967,1629,2136,2257,2573,1266,422,564,1752,1256,2722,21,206,230,511,444,406,224,124,152,242,162,101,0,22,6,39,15,12,7,0,0,0,0,328,0,5,13,62,154,14,28,39,0,7,6
"Gordon County, Georgia","13129",56424,3574,10705,4533,7404,7543,8077,3647,1456,1821,4663,3001,37286,3231,9018,3237,4272,4673,3849,2126,872,1078,2846,2084,13488,343,1316,1008,1529,1381,3216,1059,451,702,1627,856,372,0,22,6,113,44,97,14,68,0,8,0,5278,0,349,282,1490,1445,915,448,65,41,182,61
"Elbert County, Georgia","13105",19288,1154,3094,1571,2181,2232,2618,1346,562,813,2120,1597,14789,1087,2535,1230,1593,1675,1975,892,538,571,1520,1173,3976,67,503,302,515,360,552,417,24,234,598,404,41,0,0,0,0,16,14,1,0,0,0,10,482,0,56,39,73,181,77,36,0,8,2,10
"Cherokee County, Georgia","13057",235896,14693,45928,18991,27868,34523,36206,15477,5144,7945,19405,9716,110034,12851,34239,11203,12786,10654,11033,4382,1293,2227,5641,3725,102558,1692,9782,5910,11427,18803,20045,9056,3307,5034,12402,5100,2903,86,426,232,524,390,413,498,109,66,89,70,20401,64,1481,1646,3131,4676,4715,1541,435,618,1273,821
"Fayette County, Georgia","13113",110306,4823,21392,9824,9177,12420,17984,9409,3087,3953,11577,6660,46936,4054,13692,5287,3805,3869,4946,2568,772,1427,3801,2715,50448,622,6664,3487,3910,6026,10341,5523,1928,2040,6519,3388,1884,59,315,97,233,361,340,177,38,76,109,79,11038,88,721,953,1229,2164,2357,1141,349,410,1148,478
"Jenkins County, Georgia","13165",8929,634,1528,929,792,1029,1310,658,308,344,976,421,7447,619,1451,687,601,860,1163,534,154,272,716,390,1100,15,77,113,116,113,107,124,146,72,213,4,11,0,0,0,0,0,0,0,0,0,11,0,371,0,0,129,75,56,40,0,8,0,36,27
"Lee County, Georgia","13177",29216,1839,5989,2274,3713,4555,4010,1872,627,1056,2102,1179,19724,1726,4895,1611,2529,2673,2337,1064,334,628,1241,686,8147,103,896,605,1030,1545,1493,678,280,373,694,450,326,10,22,0,96,56,63,66,13,0,0,0,1019,0,176,58,58,281,117,64,0,55,167,43
"Newton County, Georgia","13217",105042,6868,21380,9890,12776,14536,15134,6003,2694,3143,8025,4593,66208,6499,16477,6801,8680,7245,7716,3278,1435,1592,4152,2333,30897,369,4138,2575,3123,5187,5698,2185,926,1306,3311,2079,1723,0,531,166,215,382,278,31,15,27,78,0,6214,0,234,348,758,1722,1442,509,318,218,484,181
"Pickens County, Georgia","13227",30343,1425,4779,2052,3378,3592,4264,2389,959,1264,4034,2207,19342,1325,4205,1683,2237,2511,2193,1215,501,417,2010,1045,9886,93,539,320,898,891,1831,1017,458,825,1877,1137,227,7,35,35,10,0,60,43,0,10,10,17,888,0,0,14,233,190,180,114,0,12,137,8
"Greene County, Georgia","13133",16732,984,2244,1061,1756,1626,1890,1137,540,967,2982,1545,11067,939,2081,878,1264,1085,1270,661,295,525,1298,771,4762,23,129,137,184,375,513,438,214,400,1618,731,101,0,0,0,5,18,46,23,0,0,9,0,802,22,34,46,303,148,61,15,31,42,57,43
"Colquitt County, Georgia","13071",45890,3303,8916,4127,5958,5917,5859,2892,971,1417,3864,2666,32770,3098,7630,2667,3708,3509,3743,1909,567,974,2917,2048,7812,205,1034,882,884,996,1316,700,327,238,733,497,291,0,7,15,93,54,66,16,25,0,15,0,5017,0,245,563,1273,1358,734,267,52,205,199,121
"Cook County, Georgia","13075",17190,1134,3345,1464,2079,2175,2309,1157,480,446,1527,1074,13554,1095,3043,1242,1597,1547,1691,745,328,343,1162,761,3010,39,275,217,291,424,493,354,150,103,365,299,180,0,19,0,39,58,40,15,2,0,0,7,446,0,8,5,152,146,85,43,0,0,0,7
"Dawson County, Georgia","13085",23397,1310,3670,1773,2614,2913,3360,1549,757,985,3030,1436,14321,1194,3379,1288,1830,1508,1695,923,382,325,1055,742,8174,61,251,485,745,1079,1519,578,370,623,1800,663,234,0,0,0,0,132,0,10,5,0,87,0,668,55,40,0,39,194,146,38,0,37,88,31
"Hancock County, Georgia","13141",8667,262,983,713,1425,998,1139,712,262,391,1075,707,6934,262,926,592,1125,569,854,643,203,305,836,619,1492,0,12,114,252,362,251,63,59,80,216,83,60,0,18,0,4,9,20,0,0,0,9,0,181,0,27,7,44,58,14,6,0,6,14,5
"Clayton County, Georgia","13063",274150,21257,56137,28244,41347,37862,36809,15535,6547,7338,15550,7524,142529,18903,41430,14630,18437,14289,13724,5892,2440,3220,6376,3188,89241,2071,11569,9829,14777,13975,14840,6989,2753,3067,6357,3014,4329,160,541,696,851,994,508,152,131,59,162,75,38051,123,2597,3089,7282,8604,7737,2502,1223,992,2655,1247
"Fulton County, Georgia","13121",1010420,62728,167822,104874,167017,148042,140605,59492,21920,29094,66438,42388,457730,54253,120003,51111,64952,44184,40665,20067,7162,10759,25987,18587,411793,6787,38247,41667,70378,70630,73621,30942,11786,14863,33701,19171,12431,291,1681,1444,2888,1809,2382,866,230,93,492,255,128466,1397,7891,10652,28799,31419,23937,7617,2742,3379,6258,4375
"Hall County, Georgia","13139",192865,12977,37734,17459,25164,25144,26302,11292,4150,6074,15897,10672,106799,11815,31195,10636,10910,9390,10840,4826,2052,2508,7207,5420,52057,686,4518,3711,6561,6840,9007,4591,1767,2754,7238,4384,2269,139,289,241,421,251,343,119,29,80,140,217,31740,337,1732,2871,7272,8663,6112,1756,302,732,1312,651
"Lumpkin County, Georgia","13187",31567,1360,4483,5938,3324,3307,3754,1923,1089,1260,3327,1802,19287,1236,3406,4021,2118,2011,1730,1042,466,745,1636,876,10994,104,964,1722,1147,976,1773,817,543,477,1636,835,119,0,0,23,38,16,16,0,0,0,11,15,1167,20,113,172,21,304,235,64,80,38,44,76
"McDuffie County, Georgia","13189",21488,1523,4153,1709,2517,2478,2751,1502,662,693,2140,1360,16142,1341,3735,1352,1906,1656,1815,1006,486,396,1392,1057,4578,182,350,312,452,639,818,400,160,297,729,239,273,0,0,45,52,66,74,16,16,0,4,0,495,0,68,0,107,117,44,80,0,0,15,64
"Miller County, Georgia","13201",5884,346,1012,431,654,693,776,411,169,169,598,625,4732,330,861,358,548,438,659,321,153,104,481,479,1077,16,151,73,106,224,88,90,9,65,109,146,67,0,0,0,0,31,29,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0
"Morgan County, Georgia","13211",18013,979,3150,1497,1611,1968,2890,1240,437,924,1947,1370,13409,895,2807,1388,1333,1402,1851,756,345,587,1248,797,4225,84,325,50,240,529,910,453,87,297,691,559,102,0,0,11,0,16,46,10,0,19,0,0,277,0,18,48,38,21,83,21,5,21,8,14
"Heard County, Georgia","13149",11607,659,2035,999,1214,1356,1831,821,312,532,1116,732,8938,621,1857,900,932,1009,1311,450,224,404,766,464,2510,38,172,99,267,322,487,348,75,106,340,256,46,0,0,0,0,3,8,23,0,0,4,8,113,0,6,0,15,22,25,0,13,22,6,4
"Oconee County, Georgia","13219",35972,1887,7756,2834,3242,5120,5328,2203,751,1760,3267,1824,20701,1776,5943,1875,1984,2334,2096,868,337,913,1643,932,12261,110,1579,685,901,2002,2619,1029,357,754,1399,826,882,1,117,169,69,235,124,51,12,25,79,0,2128,0,117,105,288,549,489,255,45,68,146,66
