"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Emanuel County, Georgia","13107",17675,2989,14686,4268,2128,3392,1906,1476,706,196,614,14192,2336,11856,3608,1694,2645,1502,1244,530,179,454,2651,522,2129,521,371,368,337,224,165,17,126,41,0,41,5,8,0,15,8,5,0,0,791,131,660,134,55,379,52,0,6,0,34
"Evans County, Georgia","13109",8550,1220,7330,2036,764,1382,1025,855,698,205,365,6351,919,5432,1528,527,994,765,716,502,104,296,1346,157,1189,292,137,162,172,120,137,100,69,112,9,103,0,24,31,13,0,35,0,0,741,135,606,216,76,195,75,19,24,1,0
"Fannin County, Georgia","13111",19617,1803,17814,4160,3038,3789,2211,2041,1203,562,810,9476,955,8521,2266,1568,1877,943,792,522,255,298,9723,822,8901,1798,1418,1830,1214,1182,640,307,512,5,0,5,0,0,5,0,0,0,0,0,413,26,387,96,52,77,54,67,41,0,0
"Fayette County, Georgia","13113",83353,11135,72218,13348,5329,8597,7526,10145,8132,3835,15306,28410,4592,23818,5251,1904,3194,2951,3757,2585,1156,3020,44990,4784,40206,6775,2701,4074,3967,5130,4688,2303,10568,1406,163,1243,224,77,50,151,191,140,117,293,8547,1596,6951,1098,647,1279,457,1067,719,259,1425
"Floyd County, Georgia","13115",76353,10468,65885,17959,8009,11617,9569,7464,5122,1865,4280,50318,6875,43443,12452,5025,7491,6363,5064,3443,1120,2485,19748,1914,17834,4641,2125,2633,2582,2031,1536,700,1586,397,50,347,94,83,29,12,48,20,22,39,5890,1629,4261,772,776,1464,612,321,123,23,170
"Forsyth County, Georgia","13117",121337,17342,103995,17842,7436,12314,10066,14756,10262,5329,25990,38258,6264,31994,6330,2665,4287,3494,5278,3453,1363,5124,62444,7458,54986,8415,3098,5206,4614,7443,5702,3180,17328,1351,177,1174,112,57,156,72,209,95,75,398,19284,3443,15841,2985,1616,2665,1886,1826,1012,711,3140
"Franklin County, Georgia","13119",18032,2439,15593,4258,2058,3086,2055,2167,892,289,788,12788,1687,11101,3004,1491,2165,1454,1564,630,234,559,4630,620,4010,1165,462,793,561,555,246,39,189,62,5,57,0,14,0,0,34,0,0,9,552,127,425,89,91,128,40,14,16,16,31
"Fulton County, Georgia","13121",708193,99480,608713,119633,53043,83142,70809,80763,55674,24793,120856,264645,45115,219530,58441,24346,32409,28161,29219,16924,6557,23473,328587,34568,294019,45316,19178,32024,31062,41790,30787,14717,79145,8729,1005,7724,1496,456,797,961,1174,606,298,1936,106232,18792,87440,14380,9063,17912,10625,8580,7357,3221,16302
"Gilmer County, Georgia","13123",22832,2463,20369,5161,3208,3871,2884,2473,1310,384,1078,14058,1560,12498,3226,2248,2090,1873,1518,792,272,479,7068,512,6556,1666,641,1390,770,940,508,112,529,168,9,159,57,30,43,29,0,0,0,0,1538,382,1156,212,289,348,212,15,10,0,70
"Glascock County, Georgia","13125",2382,378,2004,441,272,433,285,376,100,60,37,1945,316,1629,318,238,391,201,328,65,51,37,384,52,332,121,28,30,61,48,35,9,0,40,5,35,0,0,12,23,0,0,0,0,13,5,8,2,6,0,0,0,0,0,0
