"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"West Windsor-Plainsboro Regional School District, New Jersey","3417700",39337,6800,32537,4408,1554,2539,2172,3542,3105,1730,13487,8476,1309,7167,1526,456,515,442,1254,798,424,1752,12262,1650,10612,1544,479,951,813,1202,827,418,4378,416,83,333,79,3,25,17,0,26,58,125,18183,3758,14425,1259,616,1048,900,1086,1454,830,7232
"Westfield Town School District, New Jersey","3417760",22925,3297,19628,3244,1121,1649,1446,1756,1456,944,8012,10706,1565,9141,1975,507,799,679,767,638,472,3304,8642,1111,7531,974,426,629,483,633,506,361,3519,145,26,119,20,0,0,14,12,0,18,55,3432,595,2837,275,188,221,270,344,312,93,1134
"Westwood Regional School District, New Jersey","3417820",16543,1781,14762,2072,1021,1860,1248,1925,1564,732,4340,7772,927,6845,1246,344,645,625,883,821,344,1937,5702,392,5310,482,378,861,390,755,449,273,1722,98,0,98,17,2,18,0,0,0,8,53,2971,462,2509,327,297,336,233,287,294,107,628
"Weymouth Township School District, New Jersey","3417850",2423,154,2269,477,164,375,383,272,225,100,273,1363,92,1271,284,96,199,222,146,112,55,157,804,43,761,130,63,118,157,106,85,14,88,12,0,12,0,0,6,0,0,6,0,0,244,19,225,63,5,52,4,20,22,31,28
"White Township School District, New Jersey","3417910",4413,337,4076,736,426,771,486,489,422,176,570,2878,239,2639,527,262,558,319,243,253,132,345,1171,60,1111,186,104,178,126,191,128,32,166,0,0,0,0,0,0,0,0,0,0,0,364,38,326,23,60,35,41,55,41,12,59
"Wildwood City School District, New Jersey","3417940",4439,337,4102,913,395,1353,456,273,251,60,401,1450,197,1253,127,193,289,165,101,123,41,214,2027,96,1931,377,202,601,276,166,114,19,176,166,1,165,27,0,138,0,0,0,0,0,796,43,753,382,0,325,15,6,14,0,11
"Wildwood Crest Borough School District, New Jersey","3417970",2952,145,2807,581,235,338,397,351,233,116,556,877,51,826,193,64,58,148,128,49,42,144,1861,89,1772,388,137,220,225,216,165,59,362,61,0,61,0,0,35,0,0,0,0,26,153,5,148,0,34,25,24,7,19,15,24
"Willingboro Township School District, New Jersey","3418000",26021,3120,22901,4080,2003,3635,2974,3603,3049,986,2571,9714,1667,8047,1885,710,1188,921,1149,1104,292,798,11490,771,10719,1575,995,1649,1475,1693,1344,616,1372,715,98,617,124,48,88,68,84,135,18,52,4102,584,3518,496,250,710,510,677,466,60,349
"Winfield Township School District, New Jersey","3418030",1247,128,1119,152,93,165,143,209,168,46,143,1033,116,917,119,90,122,110,182,146,42,106,185,12,173,33,3,40,26,25,19,3,24,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,0,3,7,2,3,1,13
"Winslow Township School District, New Jersey","3418060",30805,3819,26986,4526,2288,3413,3512,4312,3610,1256,4069,14838,2111,12727,2421,1201,1419,1738,2027,1974,434,1513,12745,1389,11356,1822,862,1460,1447,1605,1305,756,2099,601,72,529,90,14,114,49,131,31,7,93,2621,247,2374,193,211,420,278,549,300,59,364
"Woodbine Borough School District, New Jersey","3418090",1800,283,1517,502,191,192,245,178,113,44,52,1108,190,918,274,115,153,170,92,68,37,9,475,86,389,163,61,39,31,40,17,4,34,170,7,163,46,15,0,44,27,28,3,0,47,0,47,19,0,0,0,19,0,0,9
"Woodbridge Township School District, New Jersey","3418120",81384,14225,67159,10216,4738,9102,7649,9682,8438,4100,13234,40348,6610,33738,5867,2431,4625,4119,5112,4236,2027,5321,12191,1653,10538,1612,776,1417,989,1568,1469,551,2156,1555,260,1295,280,61,278,161,249,102,35,129,27290,5702,21588,2457,1470,2782,2380,2753,2631,1487,5628
