"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alpha Borough School District, New Jersey","3400840",2249,110,351,165,271,246,348,185,42,136,174,221,1504,61,235,124,178,147,249,111,21,88,120,170,619,49,116,33,72,94,71,37,21,33,49,44,44,0,0,4,10,0,3,25,0,0,0,2,82,0,0,4,11,5,25,12,0,15,5,5
"Alpine Borough School District, New Jersey","3400870",1522,73,209,82,126,106,201,185,53,81,237,169,461,47,121,63,31,32,38,40,18,12,41,18,509,26,69,14,83,12,78,47,9,15,99,57,10,0,8,0,0,0,0,0,0,0,2,0,542,0,11,5,12,62,85,98,26,54,95,94
"Andover Regional School District, New Jersey","3400900",6706,231,1144,491,501,649,1286,553,186,301,814,550,4485,229,1084,449,351,413,772,238,94,166,406,283,1716,2,31,40,122,131,425,248,89,126,297,205,68,0,21,2,1,0,0,17,0,0,10,17,437,0,8,0,27,105,89,50,3,9,101,45
"Asbury Park City School District, New Jersey","3400930",15850,1045,2693,1614,2629,2184,2140,996,347,457,912,833,9174,1000,2361,1106,1128,957,1124,455,196,184,402,261,2798,45,168,122,358,195,478,268,119,224,397,424,262,0,9,0,45,16,116,27,17,0,0,32,3616,0,155,386,1098,1016,422,246,15,49,113,116
"Atlantic City School District, New Jersey","3400960",39306,2991,6995,3944,5354,4924,5343,2335,1011,1274,2811,2324,18360,2725,5209,2423,2247,1547,1684,752,240,365,669,499,6804,180,561,321,479,559,1325,591,336,252,1027,1173,1435,16,202,21,242,182,297,141,34,57,184,59,12707,70,1023,1179,2386,2636,2037,851,401,600,931,593
"Audubon Borough School District, New Jersey","3401050",9741,445,1402,780,1120,1299,1704,975,199,255,857,705,6482,438,1207,691,751,911,1011,441,104,131,399,398,3041,7,195,89,337,363,627,510,85,91,446,291,65,0,0,0,12,6,20,12,0,7,8,0,153,0,0,0,20,19,46,12,10,26,4,16
"Avalon Borough School District, New Jersey","3401110",1421,20,73,29,58,110,110,129,70,136,387,299,347,20,45,20,28,22,39,23,13,28,51,58,1020,0,28,9,29,85,67,106,50,106,313,227,8,0,0,0,1,0,0,0,4,0,0,3,46,0,0,0,0,3,4,0,3,2,23,11
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1846,45,203,85,233,126,343,118,63,103,325,202,1322,35,159,54,183,96,212,82,53,70,220,158,472,0,44,25,44,30,118,36,10,33,93,39,26,10,0,5,6,0,0,0,0,0,0,5,26,0,0,1,0,0,13,0,0,0,12,0
"Barrington Borough School District, New Jersey","3401170",6831,454,940,373,1160,1026,741,592,124,319,602,500,4125,309,835,321,681,540,401,270,23,228,266,251,2376,145,86,34,435,394,312,274,101,43,326,226,66,0,0,7,0,59,0,0,0,0,0,0,264,0,19,11,44,33,28,48,0,48,10,23
"Bay Head Borough School District, New Jersey","3401230",1054,39,160,42,52,59,184,72,38,30,212,166,695,30,124,38,46,28,99,55,23,18,149,85,310,9,36,4,6,16,74,14,6,9,57,79,5,0,0,0,0,5,0,0,0,0,0,0,44,0,0,0,0,10,11,3,9,3,6,2
"Bayonne City School District, New Jersey","3401260",65772,4358,10367,5482,9860,9809,8769,4109,1955,2230,5106,3727,35764,3871,7361,3471,4298,3934,3927,2033,972,1233,2496,2168,8435,361,1502,596,1542,1281,1104,602,231,248,468,500,1942,22,115,232,108,163,454,114,113,93,364,164,19631,104,1389,1183,3912,4431,3284,1360,639,656,1778,895
"Bedminster Township School District, New Jersey","3401320",8234,331,816,409,1408,1118,1296,875,259,345,877,500,4302,296,606,221,808,550,486,385,117,155,476,202,2578,35,164,127,376,187,550,382,137,91,275,254,51,0,4,0,0,17,10,14,0,0,6,0,1303,0,42,61,224,364,250,94,5,99,120,44
"Belleville Town School District, New Jersey","3401350",36122,2257,4958,3740,5184,5399,5399,2788,761,1145,2400,2091,19287,2153,3927,2489,2349,2360,2134,1179,274,385,982,1055,4081,41,632,464,878,611,570,259,71,82,278,195,1479,27,90,98,57,309,388,149,67,59,102,133,11275,36,309,689,1900,2119,2307,1201,349,619,1038,708
"Belmar Borough School District, New Jersey","3401410",5715,158,697,410,920,553,842,593,257,280,650,355,3813,141,586,333,522,254,523,418,178,164,447,247,1111,17,64,30,151,109,255,113,63,59,181,69,32,0,0,0,25,0,0,0,7,0,0,0,759,0,47,47,222,190,64,62,9,57,22,39
"Belvidere Town School District, New Jersey","3401440",2621,170,441,275,240,339,428,165,70,103,202,188,1672,118,389,221,139,190,247,95,39,65,82,87,791,52,52,43,84,129,122,52,26,28,102,101,33,0,0,0,0,6,14,0,0,0,13,0,125,0,0,11,17,14,45,18,5,10,5,0
"Bergenfield Borough School District, New Jersey","3401500",27513,1542,4402,2626,3502,3632,3695,2318,566,1168,2253,1809,8445,1262,2241,926,855,779,666,583,163,249,520,201,7401,270,1543,980,980,771,766,453,133,326,629,550,496,0,112,39,32,96,50,26,0,19,65,57,11171,10,506,681,1635,1986,2213,1256,270,574,1039,1001
"Berkeley Heights Township School District, New Jersey","3401530",13387,659,2676,816,769,1700,2373,1187,381,399,1174,1253,7592,445,2141,613,499,680,1169,600,224,189,405,627,3362,214,456,99,141,405,664,340,105,141,456,341,96,0,0,0,0,0,15,63,0,0,0,18,2337,0,79,104,129,615,525,184,52,69,313,267
"Berlin Township School District, New Jersey","3401620",5411,428,789,281,812,658,740,476,56,228,639,304,3496,417,666,254,577,414,441,272,42,65,183,165,1475,11,65,14,89,179,270,141,14,152,412,128,25,0,0,0,0,0,0,0,0,0,25,0,415,0,58,13,146,65,29,63,0,11,19,11
"Bernards Township School District, New Jersey","3401650",27014,853,6620,1827,1542,3323,5087,2509,673,845,1953,1782,13266,600,4435,1466,827,887,1791,1001,272,298,792,897,8357,156,1510,256,408,1278,1704,1168,316,398,592,571,231,40,83,0,7,0,27,8,0,11,43,12,5160,57,592,105,300,1158,1565,332,85,138,526,302
"Beverly City School District, New Jersey","3401740",2538,173,370,245,227,311,493,208,93,78,192,148,1708,167,272,215,118,260,254,125,54,59,87,97,635,6,98,30,62,25,175,66,33,14,82,44,64,0,0,0,20,0,35,3,0,0,6,0,131,0,0,0,27,26,29,14,6,5,17,7
"Bloomfield Township School District, New Jersey","3401830",47982,3098,6733,4280,7171,7359,6770,3508,1234,1516,3651,2662,26317,2854,5301,2909,3572,3188,2874,1378,548,650,1737,1306,7909,173,945,540,1413,1469,1256,531,184,217,687,494,1479,67,136,156,129,147,305,94,58,72,223,92,12277,4,351,675,2057,2555,2335,1505,444,577,1004,770
"Bloomingdale Borough School District, New Jersey","3401860",7995,585,1098,600,1108,849,1159,656,279,239,772,650,4703,585,849,510,702,347,570,454,55,68,296,267,1882,0,164,48,170,229,275,176,196,126,279,219,94,0,26,0,13,0,18,0,15,0,16,6,1316,0,59,42,223,273,296,26,13,45,181,158
"Bloomsbury Borough School District, New Jersey","3401890",774,24,167,88,46,78,166,78,37,18,49,23,532,22,161,83,25,42,91,42,30,8,19,9,184,0,6,5,13,27,49,28,5,10,27,14,3,2,0,0,0,0,0,1,0,0,0,0,55,0,0,0,8,9,26,7,2,0,3,0
"Bogota Borough School District, New Jersey","3401920",8348,582,1172,918,1107,1074,1309,540,371,313,587,375,3162,439,580,427,402,301,369,104,99,85,251,105,2359,106,461,258,249,310,357,163,109,80,183,83,221,37,69,16,37,0,54,0,8,0,0,0,2606,0,62,217,419,463,529,273,155,148,153,187
"Boonton Town School District, New Jersey","3401950",8405,662,1019,752,1309,1264,1325,576,114,242,727,415,5262,662,843,515,915,645,646,246,30,110,425,225,1561,0,141,109,227,232,324,174,9,103,153,89,71,0,0,23,0,0,0,24,0,0,24,0,1511,0,35,105,167,387,355,132,75,29,125,101
"Boonton Township School District, New Jersey","3401980",4346,171,818,323,174,431,706,521,177,250,392,383,2581,171,702,129,153,246,329,281,109,100,183,178,1197,0,80,158,11,53,261,177,58,122,125,152,51,0,13,36,0,2,0,0,0,0,0,0,517,0,23,0,10,130,116,63,10,28,84,53
"Bordentown Regional School District, New Jersey","3402030",16220,809,2921,1201,1895,2552,2530,1060,548,559,1272,873,10617,645,2517,721,1167,1530,1401,636,403,310,768,519,3549,164,346,349,429,582,485,255,134,208,334,263,374,0,0,54,73,0,86,69,0,22,70,0,1680,0,58,77,226,440,558,100,11,19,100,91
"Bound Brook Borough School District, New Jersey","3402100",10512,824,1519,1118,1899,1444,1546,676,183,248,496,559,5327,824,1228,674,683,422,581,299,100,96,154,266,1832,0,204,114,372,276,266,117,56,54,197,176,207,0,11,0,0,9,47,27,10,36,41,26,3146,0,76,330,844,737,652,233,17,62,104,91
"Bradley Beach Borough School District, New Jersey","3402130",4272,271,466,251,822,679,541,391,55,152,340,304,2799,271,386,184,591,450,232,110,44,122,212,197,978,0,43,0,62,167,214,254,11,19,128,80,61,0,0,0,0,0,61,0,0,0,0,0,434,0,37,67,169,62,34,27,0,11,0,27
