"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Bergenfield Borough School District, New Jersey","3401500",27506,1860,1576,24070,8438,572,343,7523,7401,432,298,6671,496,15,31,450,11171,841,904,9426
"Berkeley Heights Township School District, New Jersey","3401530",12982,484,218,12280,7319,300,131,6888,3283,49,40,3194,87,0,0,87,2293,135,47,2111
"Berlin Township School District, New Jersey","3401620",5398,791,269,4338,3483,434,171,2878,1475,264,67,1144,25,0,0,25,415,93,31,291
"Bernards Township School District, New Jersey","3401650",26234,964,412,24858,12567,323,149,12095,8287,194,174,7919,231,20,0,211,5149,427,89,4633
"Beverly City School District, New Jersey","3401740",2538,347,348,1843,1708,292,256,1160,635,51,75,509,64,0,0,64,131,4,17,110
"Bloomfield Township School District, New Jersey","3401830",47361,3872,3295,40194,25902,1989,1967,21946,7782,539,341,6902,1474,231,57,1186,12203,1113,930,10160
"Bloomingdale Borough School District, New Jersey","3401860",7884,662,577,6645,4659,428,201,4030,1821,55,128,1638,88,39,0,49,1316,140,248,928
"Bloomsbury Borough School District, New Jersey","3401890",774,61,19,694,532,52,13,467,184,2,6,176,3,2,0,1,55,5,0,50
"Bogota Borough School District, New Jersey","3401920",8334,820,518,6996,3159,373,208,2578,2348,168,130,2050,221,60,0,161,2606,219,180,2207
"Boonton Town School District, New Jersey","3401950",8332,516,211,7605,5225,289,94,4842,1532,101,57,1374,71,12,0,59,1504,114,60,1330
"Boonton Township School District, New Jersey","3401980",4234,109,274,3851,2526,87,181,2258,1162,22,10,1130,49,0,6,43,497,0,77,420
"Bordentown Regional School District, New Jersey","3402030",15838,907,296,14635,10302,663,210,9429,3483,149,61,3273,374,23,0,351,1679,72,25,1582
"Bound Brook Borough School District, New Jersey","3402100",10488,1167,527,8794,5303,612,235,4456,1832,48,75,1709,207,55,0,152,3146,452,217,2477
"Bradley Beach Borough School District, New Jersey","3402130",4272,417,459,3396,2799,328,295,2176,978,30,136,812,61,48,13,0,434,11,15,408
