"","GEOID","B07001_001","B07001_002","B07001_003","B07001_004","B07001_005","B07001_006","B07001_007","B07001_008","B07001_009","B07001_010","B07001_011","B07001_012","B07001_013","B07001_014","B07001_015","B07001_016","B07001_017","B07001_018","B07001_019","B07001_020","B07001_021","B07001_022","B07001_023","B07001_024","B07001_025","B07001_026","B07001_027","B07001_028","B07001_029","B07001_030","B07001_031","B07001_032","B07001_033","B07001_034","B07001_035","B07001_036","B07001_037","B07001_038","B07001_039","B07001_040","B07001_041","B07001_042","B07001_043","B07001_044","B07001_045","B07001_046","B07001_047","B07001_048","B07001_049","B07001_050","B07001_051","B07001_052","B07001_053","B07001_054","B07001_055","B07001_056","B07001_057","B07001_058","B07001_059","B07001_060","B07001_061","B07001_062","B07001_063","B07001_064","B07001_065","B07001_066","B07001_067","B07001_068","B07001_069","B07001_070","B07001_071","B07001_072","B07001_073","B07001_074","B07001_075","B07001_076","B07001_077","B07001_078","B07001_079","B07001_080","B07001_081","B07001_082","B07001_083","B07001_084","B07001_085","B07001_086","B07001_087","B07001_088","B07001_089","B07001_090","B07001_091","B07001_092","B07001_093","B07001_094","B07001_095","B07001_096"
"York School District 4, South Carolina","4503900",61747,3371,14076,1235,2333,2716,3612,4891,5545,5437,5050,3547,3185,3159,1364,2226,51330,2282,11703,1100,1709,1909,2649,3841,4642,4831,4351,3178,2821,2978,1296,2040,4080,271,1097,115,281,354,303,304,298,303,311,138,111,73,31,90,1299,176,272,0,110,130,195,114,128,74,45,42,5,0,0,8,4670,570,985,20,171,306,411,603,462,223,320,177,248,74,12,88,368,72,19,0,62,17,54,29,15,6,23,12,0,34,25,0
"Remainder of South Carolina, South Carolina","4599999",17248,515,1434,6596,4231,1793,943,633,358,96,100,126,139,136,72,76,3446,364,817,171,330,275,315,450,226,21,85,96,74,86,65,71,507,40,65,67,17,91,40,18,44,6,15,0,56,43,0,5,520,44,71,201,82,82,6,3,0,8,0,0,9,7,7,0,12508,67,474,6082,3719,1290,582,145,88,61,0,0,0,0,0,0,267,0,7,75,83,55,0,17,0,0,0,30,0,0,0,0
"Dillon School District 4, South Carolina","4501920",23400,1398,4350,450,1549,1711,1526,1473,1163,1324,1715,1795,1385,1208,892,1461,20931,1250,3771,370,1258,1559,1340,1245,1008,1119,1593,1718,1330,1181,849,1340,1557,135,389,11,239,100,125,75,119,68,48,63,36,9,25,115,514,13,107,16,33,26,45,34,18,87,61,13,19,18,18,6,355,0,83,53,19,26,16,76,18,50,13,1,0,0,0,0,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
"Marion School District 10, South Carolina","4503908",31390,1582,5525,690,1895,2006,1682,2119,1508,1859,2174,1867,2905,2259,1207,2112,28323,1406,5063,593,1522,1506,1428,2035,1387,1758,1752,1783,2831,2135,1160,1964,1749,124,233,72,282,255,153,24,94,24,254,50,35,89,41,19,409,27,51,20,66,53,13,19,15,34,16,34,30,0,6,25,611,16,135,0,25,21,88,41,12,43,85,0,9,35,0,101,298,9,43,5,0,171,0,0,0,0,67,0,0,0,0,3
"Sumter County Consolidated School District, South Carolina","4503902",105784,5722,18968,2811,8733,7791,6698,6121,5962,6411,7202,6567,6613,5603,3851,6731,89421,4332,15654,2017,6306,5475,5078,5168,5267,5643,6615,6145,6226,5386,3715,6394,9921,878,2378,337,1337,1495,973,639,361,412,280,250,180,94,79,228,2401,142,383,160,396,339,176,109,114,114,178,66,116,43,36,29,3305,320,407,289,608,430,396,91,205,186,71,96,72,70,8,56,736,50,146,8,86,52,75,114,15,56,58,10,19,10,13,24
"Aiken County School District, South Carolina","4500720",166244,7886,27265,3945,10137,10909,10376,9286,10022,10520,12060,11987,11943,9978,7982,11948,144534,6253,23333,3008,7512,8269,8588,7932,8720,9667,11296,10751,11087,9391,7567,11160,13240,1152,2424,314,1902,1752,1126,813,585,601,515,633,444,191,264,524,2714,124,529,251,402,248,120,115,292,105,61,136,77,136,55,63,5359,348,874,327,284,626,535,386,411,114,152,449,335,249,86,183,397,9,105,45,37,14,7,40,14,33,36,18,0,11,10,18
"Anderson School District 1, South Carolina","4500780",52940,2774,10670,755,2738,2882,3038,3832,3440,3824,4356,3589,3137,2792,2244,2869,47062,2409,9405,731,2107,2247,2354,3447,3067,3352,4146,3311,3031,2526,2176,2753,2448,194,462,0,252,334,236,40,169,187,111,154,57,125,51,76,2121,154,430,23,251,213,296,284,110,148,51,49,29,43,0,40,1132,17,369,1,124,14,90,61,94,137,33,57,20,98,17,0,177,0,4,0,4,74,62,0,0,0,15,18,0,0,0,0
"Dorchester School District 4, South Carolina","4500002",17938,1034,2520,312,1070,1463,1280,1031,939,1249,1327,1321,1397,914,910,1171,16174,861,2289,284,798,1190,1095,954,864,1192,1162,1259,1340,862,888,1136,950,129,182,17,130,187,66,13,37,18,90,16,2,46,15,2,648,21,49,11,111,86,82,64,38,29,55,5,55,6,7,29,166,23,0,0,31,0,37,0,0,10,20,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abbeville County School District, South Carolina","4500690",23331,997,3745,757,1624,1188,1062,1217,1477,1500,1562,1523,2024,1586,1298,1771,20831,880,3415,484,1287,1044,988,1108,1265,1276,1423,1319,1883,1557,1213,1689,1011,11,130,80,139,59,44,47,93,84,76,119,51,0,16,62,1120,81,126,158,143,85,30,33,82,138,28,75,64,29,43,5,351,25,74,27,55,0,0,29,27,2,35,10,26,0,26,15,18,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0
"Allendale County School District, South Carolina","4500750",9359,423,1338,271,651,510,691,741,427,627,660,646,663,779,371,561,8367,405,1148,266,563,420,506,617,336,539,608,623,650,777,371,538,286,0,166,0,3,5,65,0,12,25,0,0,10,0,0,0,600,18,0,0,85,85,100,124,28,57,52,23,3,2,0,23,106,0,24,5,0,0,20,0,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
