"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Greenwood School District 50, South Carolina","4502340",58214,3617,9969,6065,7153,7035,7331,3691,1380,1942,5412,4619,42058,3318,8298,4858,5018,4517,4694,2599,923,1346,3537,2950,12888,131,1308,944,1506,1806,2119,989,356,490,1768,1471,432,15,68,5,35,167,17,39,10,0,9,67,2836,153,295,258,594,545,501,64,91,106,98,131
"Greenwood School District 51, South Carolina","4502370",6898,418,941,640,944,762,1009,427,178,293,703,583,5651,384,851,606,772,631,784,315,133,223,505,447,1176,34,87,34,166,116,209,112,34,63,191,130,25,0,0,0,0,0,7,0,11,7,0,0,46,0,3,0,6,15,9,0,0,0,7,6
"Horry County School District, South Carolina","4502490",310186,15750,43212,24739,37680,35860,40170,22485,9458,14740,43191,22901,116647,13170,28830,11205,13103,12160,11406,6432,2498,3740,8959,5144,170582,2497,12894,12089,19476,18742,24939,14526,6282,10261,32271,16605,3358,26,247,317,912,439,502,405,130,52,268,60,19599,57,1241,1128,4189,4519,3323,1122,548,687,1693,1092
"Greenwood School District 52, South Carolina","4502400",7957,484,1284,374,846,801,1282,783,242,281,1105,475,5546,468,1136,290,675,504,842,565,94,131,536,305,2349,16,134,84,171,291,429,218,136,150,555,165,0,0,0,0,0,0,0,0,0,0,0,0,62,0,14,0,0,6,11,0,12,0,14,5
"Hampton School District 1, South Carolina","4502430",12403,662,2222,1088,1504,1278,1757,818,426,446,1316,886,10442,649,2105,973,1188,1072,1452,670,337,339,980,677,1786,0,91,115,297,203,305,104,89,75,330,177,39,13,0,0,8,0,0,18,0,0,0,0,136,0,26,0,11,3,0,26,0,32,6,32
"Hampton School District 2, South Carolina","4502460",7663,440,1157,577,1075,1290,938,484,278,232,767,425,5720,397,1085,537,583,814,657,365,203,190,552,337,1480,43,72,19,326,326,215,100,75,42,174,88,87,0,0,21,40,0,20,6,0,0,0,0,376,0,0,0,126,150,46,13,0,0,41,0
"Jasper County School District, South Carolina","4502520",27465,1651,4201,2452,4161,3175,3671,1865,833,1086,2874,1496,13848,1307,3116,1384,1595,1183,1742,707,384,488,1114,828,11214,334,1030,878,1708,1369,1581,1040,356,573,1730,615,96,0,0,0,28,25,24,19,0,0,0,0,2307,10,55,190,830,598,324,99,93,25,30,53
"Kershaw County School District, South Carolina","4502550",63734,3639,11304,4944,7218,7623,8813,4619,1901,2768,6619,4286,42482,3345,8916,3511,5084,4413,5254,2778,1072,1637,3657,2815,19234,233,2171,1326,1804,2892,3227,1642,769,1075,2806,1289,644,0,184,40,71,68,123,46,23,16,54,19,1374,61,33,67,259,250,209,153,37,40,102,163
"Lancaster County School District, South Carolina","4502580",86544,5070,13897,6222,10233,11538,11467,5649,2122,3361,10690,6295,44800,2964,7651,3853,5294,5536,5940,2935,1086,1948,4402,3191,37543,2019,5903,2134,4207,5057,4817,2428,973,1255,5879,2871,803,78,114,8,114,185,83,108,0,38,48,27,3398,9,229,227,618,760,627,178,63,120,361,206
"Laurens School District 55, South Carolina","4502610",36775,2118,5997,3019,4344,4518,5429,2757,962,1528,3756,2347,27303,2004,5243,2511,3115,2998,3537,1776,622,1061,2677,1759,8125,107,670,419,950,1156,1593,862,334,453,1004,577,346,7,31,5,99,18,62,74,6,5,39,0,1001,0,53,84,180,346,237,45,0,9,36,11
"Laurens School District 56, South Carolina","4502640",21466,1155,3323,2699,2108,2109,2866,1330,665,953,2261,1997,16499,1140,2867,1827,1596,1726,2146,979,516,652,1575,1475,4389,15,438,722,414,275,655,335,149,283,616,487,155,0,18,3,31,0,29,0,0,18,29,27,423,0,0,147,67,108,36,16,0,0,41,8
"Lee County School District, South Carolina","4502670",17897,1009,2799,1700,2313,2040,2389,1497,421,725,1783,1221,14735,979,2244,1414,1806,1567,1916,1250,359,615,1490,1095,3024,30,555,277,502,448,410,241,62,107,289,103,42,0,0,9,0,25,8,0,0,0,0,0,96,0,0,0,5,0,55,6,0,3,4,23
"Lexington School District 1, South Carolina","4502700",135977,8547,26636,9467,17804,20468,20302,8730,3176,4512,10455,5880,79289,7619,19518,6558,9980,10100,9483,4329,1424,2228,5057,2993,48159,822,6368,2466,6236,7987,9311,3963,1587,2015,4884,2520,1487,6,164,85,233,365,270,178,29,80,60,17,7042,100,586,358,1355,2016,1238,260,136,189,454,350
"Lexington School District 2, South Carolina","4502730",64608,3678,9161,6826,10007,7476,7931,4347,2097,2222,6143,4720,41504,3192,7552,4329,5506,4311,4402,2454,1316,1400,3957,3085,17646,446,1380,1913,2849,2095,2747,1569,654,658,1889,1446,1092,4,51,151,158,143,223,141,50,33,95,43,4366,36,178,433,1494,927,559,183,77,131,202,146
"Lexington School District 3, South Carolina","4502760",13678,631,2444,1332,1436,1394,1852,1193,341,677,1284,1094,10827,593,2208,1141,1263,942,1319,904,182,486,934,855,2275,38,180,149,142,208,482,264,159,181,307,165,90,0,0,0,0,30,34,0,0,10,16,0,486,0,56,42,31,214,17,25,0,0,27,74
"Lexington School District 4, South Carolina","4502790",18314,1346,3465,1613,2247,2346,2604,1277,449,672,1417,878,13039,1271,2944,1230,1616,1470,1562,782,277,402,956,529,4759,75,461,355,475,781,931,475,162,261,452,331,56,0,0,0,18,7,21,10,0,0,0,0,460,0,60,28,138,88,90,10,10,9,9,18
"Lexington School District 5, South Carolina","4502820",99025,5409,17803,7654,11630,12514,15243,6387,2681,4264,9867,5573,52387,4683,13379,4342,5623,6233,6128,2798,1046,1823,3960,2372,40871,692,3937,2882,5090,5169,7866,3168,1573,2186,5419,2889,1406,0,166,171,230,328,291,101,33,8,65,13,4361,34,321,259,687,784,958,320,29,247,423,299
