"","GEOID","B07010_001","B07010_002","B07010_003","B07010_004","B07010_005","B07010_006","B07010_007","B07010_008","B07010_009","B07010_010","B07010_011","B07010_012","B07010_013","B07010_014","B07010_015","B07010_016","B07010_017","B07010_018","B07010_019","B07010_020","B07010_021","B07010_022","B07010_023","B07010_024","B07010_025","B07010_026","B07010_027","B07010_028","B07010_029","B07010_030","B07010_031","B07010_032","B07010_033","B07010_034","B07010_035","B07010_036","B07010_037","B07010_038","B07010_039","B07010_040","B07010_041","B07010_042","B07010_043","B07010_044","B07010_045","B07010_046","B07010_047","B07010_048","B07010_049","B07010_050","B07010_051","B07010_052","B07010_053","B07010_054","B07010_055","B07010_056","B07010_057","B07010_058","B07010_059","B07010_060","B07010_061","B07010_062","B07010_063","B07010_064","B07010_065","B07010_066"
"Spartanburg School District 3, South Carolina","4503540",12905,1977,10928,2484,1421,2381,1317,1509,1012,229,575,11511,1826,9685,2152,1302,2090,1159,1342,921,205,514,866,88,778,186,67,167,117,108,74,6,53,173,7,166,39,13,60,13,28,13,0,0,334,56,278,107,18,64,28,31,4,18,8,21,0,21,0,21,0,0,0,0,0,0
"Saluda County School District, South Carolina","4503460",12580,2252,10328,2060,1346,2263,1647,1372,678,288,674,11870,2078,9792,1859,1339,2076,1567,1356,659,279,657,350,84,266,137,0,86,43,0,0,0,0,117,0,117,16,7,37,20,9,10,9,9,155,43,112,48,0,47,0,0,9,0,8,88,47,41,0,0,17,17,7,0,0,0
"Spartanburg School District 1, South Carolina","4503480",24968,2766,22202,4313,2632,4447,3159,2875,2060,759,1957,22291,2533,19758,3811,2380,3787,2904,2460,1944,718,1754,1807,192,1615,338,182,417,168,226,100,24,160,412,2,410,137,19,130,31,44,11,0,38,435,39,396,27,51,102,56,133,5,17,5,23,0,23,0,0,11,0,12,0,0,0
"Spartanburg School District 2, South Carolina","4503510",49022,6904,42118,8194,4833,7426,5524,6715,4319,1516,3591,42716,5951,36765,6729,4257,6483,4700,6100,3984,1236,3276,3668,569,3099,587,475,645,585,363,112,186,146,1255,183,1072,437,75,113,129,178,119,0,21,1085,191,894,280,26,58,110,74,104,94,148,298,10,288,161,0,127,0,0,0,0,0
"Spartanburg School District 4, South Carolina","4503570",16073,3194,12879,2868,1798,2624,1586,1737,1007,396,863,13324,2434,10890,2184,1504,2336,1283,1465,917,349,852,1351,263,1088,335,197,128,167,138,76,47,0,939,342,597,278,24,124,117,40,14,0,0,422,137,285,52,73,36,19,94,0,0,11,37,18,19,19,0,0,0,0,0,0,0
"Spartanburg School District 5, South Carolina","4503600",35930,4787,31143,5176,2999,5394,4396,5136,3344,1042,3656,31117,4215,26902,4300,2651,4714,3461,4463,3014,947,3352,2729,227,2502,559,159,418,667,396,208,55,40,1045,152,893,176,63,131,128,116,63,29,187,957,181,776,135,126,115,107,161,44,11,77,82,12,70,6,0,16,33,0,15,0,0
"Spartanburg School District 6, South Carolina","4503630",53059,6646,46413,8958,5044,9497,7021,6683,3943,1323,3944,44143,5308,38835,7134,4161,7617,5738,5851,3518,1203,3613,5854,742,5112,1254,610,1280,986,433,272,112,165,1595,249,1346,435,147,260,182,219,70,0,33,1306,246,1060,128,102,340,86,180,83,8,133,161,101,60,7,24,0,29,0,0,0,0
"Spartanburg School District 7, South Carolina","4503660",41672,4536,37136,8736,4662,7197,4788,4672,2947,937,3197,34183,3630,30553,6629,3711,5919,3981,3842,2671,842,2958,4744,467,4277,1268,725,933,590,466,143,50,102,1459,298,1161,521,106,160,58,195,25,29,67,1167,112,1055,302,73,180,137,169,108,16,70,119,29,90,16,47,5,22,0,0,0,0
"Union County School District, South Carolina","4503750",22959,2553,20406,4440,3018,4189,2927,2746,1700,482,904,20420,2066,18354,3809,2672,3734,2763,2581,1587,437,771,1748,337,1411,543,256,281,118,118,20,8,67,705,126,579,64,85,174,36,28,93,37,62,57,19,38,24,5,0,0,5,0,0,4,29,5,24,0,0,0,10,14,0,0,0
"Williamsburg County School District, South Carolina","4503780",26567,5293,21274,5722,3384,4122,3013,2643,1226,460,704,24477,4651,19826,5222,3185,3833,2938,2425,1160,400,663,1152,355,797,339,97,197,37,58,0,42,27,530,150,380,93,46,16,24,112,66,18,5,216,72,144,68,23,26,14,13,0,0,0,192,65,127,0,33,50,0,35,0,0,9
"York School District 1, South Carolina","4503810",26301,4193,22108,4228,2705,4063,3333,3334,2256,655,1534,23978,3752,20226,3805,2394,3841,3078,3108,2097,606,1297,1265,227,1038,275,218,99,153,94,72,25,102,216,70,146,76,7,24,26,0,13,0,0,826,142,684,72,86,99,76,118,74,24,135,16,2,14,0,0,0,0,14,0,0,0
"York School District 2, South Carolina","4503840",31574,4295,27279,4461,2512,4129,3526,3960,2903,1147,4641,27084,3521,23563,3966,2291,3580,2950,3260,2610,991,3915,1938,278,1660,190,145,280,322,374,112,30,207,366,5,361,72,13,76,54,75,0,22,49,2053,390,1663,225,50,193,200,251,181,104,459,133,101,32,8,13,0,0,0,0,0,11
"York School District 3, South Carolina","4503870",94714,11305,83409,15946,9036,13820,12530,12196,7892,3118,8871,79964,9683,70281,11986,7958,11590,10119,10690,7194,2737,8007,8717,656,8061,2344,806,1352,1383,911,459,265,541,3313,579,2734,1204,97,480,636,230,47,0,40,2427,278,2149,385,98,398,374,350,169,92,283,293,109,184,27,77,0,18,15,23,24,0
"York School District 4, South Carolina","4503900",47727,6070,41657,6646,2757,4895,3314,5621,5071,2279,11074,40405,5097,35308,5719,2424,4105,2870,4577,4371,1955,9287,2973,442,2531,284,103,471,225,397,294,157,600,893,92,801,105,41,96,21,124,123,6,285,3179,371,2808,470,173,223,198,490,252,161,841,277,68,209,68,16,0,0,33,31,0,61
"Remainder of South Carolina, South Carolina","4599999",15841,560,15281,6558,2107,2654,1452,1118,667,159,566,2338,372,1966,248,158,245,237,272,361,86,359,426,47,379,171,18,63,14,61,21,0,31,417,19,398,195,62,48,49,5,34,5,0,12393,80,12313,5870,1839,2228,1143,780,224,68,161,267,42,225,74,30,70,9,0,27,0,15
"Dillon School District 4, South Carolina","4501920",18555,3537,15018,3943,2374,3705,1941,1467,884,283,421,16761,3180,13581,3487,2094,3449,1851,1248,754,283,415,1062,186,876,287,225,136,32,128,68,0,0,417,111,306,53,18,109,42,18,61,0,5,272,60,212,116,37,11,16,31,1,0,0,43,0,43,0,0,0,0,42,0,0,1
"Marion School District 10, South Carolina","4503908",25533,4366,21167,5193,3751,4187,3323,2267,1232,334,880,23025,3954,19071,4471,3316,3682,3054,2178,1190,329,851,1398,127,1271,491,218,286,231,7,33,5,0,338,106,232,86,59,42,25,6,9,0,5,489,142,347,55,69,110,13,76,0,0,24,283,37,246,90,89,67,0,0,0,0,0
"Sumter County Consolidated School District, South Carolina","4503902",85440,12550,72890,16448,9063,13387,10977,9247,6282,2222,5264,73186,10780,62406,14170,7550,11041,9333,7868,5556,2099,4789,7083,920,6163,1193,1032,1411,1043,829,416,71,168,1946,420,1526,496,179,375,219,153,30,32,42,2638,276,2362,541,284,497,317,313,190,10,210,587,154,433,48,18,63,65,84,90,10,55
"Aiken County School District, South Carolina","4500720",137643,19346,118297,23062,13561,21225,16126,15959,11140,4070,13154,120605,16372,104233,19654,11733,18550,14234,14149,9988,3713,12212,10289,1725,8564,2053,1310,1672,1189,1069,571,267,433,2109,439,1670,555,148,247,204,220,176,59,61,4285,658,3627,711,334,717,499,521,391,31,423,355,152,203,89,36,39,0,0,14,0,25
"Anderson School District 1, South Carolina","4500780",42033,5529,36504,6697,3662,6186,4897,5681,3747,1594,4040,37496,4853,32643,5960,3181,5372,4519,5108,3455,1439,3609,1875,185,1690,328,171,411,165,192,195,36,192,1575,128,1447,263,184,230,133,362,61,95,119,914,288,626,119,126,154,46,19,18,24,120,173,75,98,27,0,19,34,0,18,0,0
"Dorchester School District 4, South Carolina","4500002",15086,3621,11465,2600,1837,2148,1548,1262,1139,310,621,13724,3236,10488,2310,1598,1947,1463,1239,1021,310,600,639,136,503,145,149,68,47,16,75,0,3,580,177,403,98,90,119,38,7,33,0,18,143,72,71,47,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abbeville County School District, South Carolina","4500690",19513,2805,16708,4214,2405,3482,2145,2304,1046,422,690,17411,2495,14916,3683,2140,3158,1927,2015,982,367,644,876,141,735,238,111,110,151,78,7,31,9,945,129,816,218,97,174,58,183,47,9,30,263,36,227,71,57,40,9,28,0,15,7,18,4,14,4,0,0,0,0,10,0,0
"Allendale County School District, South Carolina","4500750",7886,2445,5441,1332,1109,1194,818,617,120,80,171,7073,1877,5196,1220,1102,1158,777,607,120,53,159,149,88,61,30,0,0,21,0,0,0,10,582,474,108,56,7,33,0,10,0,0,2,82,6,76,26,0,3,20,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson School District 2, South Carolina","4500810",18749,3072,15677,3170,2459,3037,2145,2070,1508,339,949,16588,2734,13854,2726,2171,2689,1799,1859,1409,320,881,1137,137,1000,248,128,252,155,131,45,0,41,626,58,568,153,115,34,173,31,50,0,12,366,132,234,43,45,58,5,49,0,19,15,32,11,21,0,0,4,13,0,4,0,0
"Anderson School District 3, South Carolina","4500840",11448,1630,9818,2014,1596,2083,1574,1236,677,194,444,10392,1452,8940,1784,1344,1984,1396,1172,642,174,444,671,150,521,148,150,55,104,64,0,0,0,129,11,118,51,0,10,21,0,35,1,0,222,0,222,14,102,34,53,0,0,19,0,34,17,17,17,0,0,0,0,0,0,0
