"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Charleston County School District, South Carolina","4501440",231787,28108,53524,62870,55462,31823,105680,18778,30731,27833,18676,9662,107793,5382,18347,31042,33522,19500,2850,161,565,959,762,403,15464,3787,3881,3036,2502,2258
"Cherokee County School District, South Carolina","4501500",34641,8790,13736,8173,2988,954,23335,6010,9871,4978,1847,629,9988,2118,3632,2908,1032,298,261,94,46,121,0,0,1057,568,187,166,109,27
"Chester County School District, South Carolina","4501530",22309,5640,8566,5626,1801,676,16323,4371,6700,3850,1051,351,5606,1183,1816,1665,703,239,55,0,10,33,12,0,325,86,40,78,35,86
"Chesterfield County School District, South Carolina","4501560",30783,7913,11913,7274,2386,1297,20726,5612,8319,4829,1290,676,9128,1943,3309,2294,1038,544,59,2,15,39,0,3,870,356,270,112,58,74
"Clarendon School District 1, South Carolina","4501740",7003,1842,2649,1574,647,291,4916,1558,1771,1074,391,122,1975,256,794,500,256,169,18,7,11,0,0,0,94,21,73,0,0,0
"Clarendon School District 2, South Carolina","4501770",12304,2816,4759,2976,1129,624,8194,2151,3156,1755,744,388,3753,575,1463,1163,338,214,75,0,15,32,28,0,282,90,125,26,19,22
"Clarendon School District 3, South Carolina","4501800",3993,986,1812,772,300,123,3367,875,1542,610,237,103,554,87,247,137,63,20,17,17,0,0,0,0,55,7,23,25,0,0
"Colleton County School District, South Carolina","4501830",25842,6211,9908,5995,2412,1316,17848,4308,6960,4141,1685,754,7364,1561,2742,1817,715,529,72,12,40,12,7,1,558,330,166,25,5,32
"Darlington County School District, South Carolina","4501860",45785,9921,16939,11680,5083,2162,36411,8356,14205,8767,3761,1322,8322,1242,2460,2766,1227,627,148,75,50,23,0,0,904,248,224,124,95,213
"Dillon School District 1, South Carolina","4501890",3420,865,1453,779,280,43,2770,708,1188,624,213,37,621,134,265,149,67,6,6,0,0,6,0,0,23,23,0,0,0,0
"Dillon School District 2, South Carolina","4501920",11858,4284,4369,2329,537,339,9062,3396,3452,1670,369,175,2278,538,762,659,168,151,37,12,25,0,0,0,481,338,130,0,0,13
"Dillon School District 3, South Carolina","4501950",5061,1460,2044,1168,234,155,4186,1241,1755,903,177,110,834,201,288,255,49,41,10,0,0,10,0,0,31,18,1,0,8,4
