"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Fayette County, Georgia","13113",72187,4566,15213,21150,19955,11303,22499,1616,6778,6921,4951,2233,40365,1386,6769,12094,12459,7657,1238,20,293,270,498,157,8085,1544,1373,1865,2047,1256
"Floyd County, Georgia","13115",63085,13960,19326,18077,6687,5035,40879,8931,13606,11812,3746,2784,16835,2564,4596,5299,2362,2014,483,60,97,129,110,87,4888,2405,1027,837,469,150
"Forsyth County, Georgia","13117",120835,10186,24876,31863,37295,16615,33190,4132,9430,8757,7825,3046,63598,1832,10939,18665,22987,9175,1566,67,278,457,562,202,22481,4155,4229,3984,5921,4192
"Franklin County, Georgia","13119",15209,4257,5471,3660,1204,617,10588,3196,4017,2360,709,306,3974,890,1241,1212,385,246,86,18,6,16,29,17,561,153,207,72,81,48
"Fulton County, Georgia","13121",636648,59142,115866,152340,189733,119567,215408,30766,58325,56232,45975,24110,311098,11847,39237,77268,112494,70252,9065,541,1080,1753,3715,1976,101077,15988,17224,17087,27549,23229
"Gilmer County, Georgia","13123",20331,4571,6714,5614,2309,1123,10722,2621,3820,2781,1018,482,8011,1072,2597,2591,1150,601,133,14,48,51,14,6,1465,864,249,191,127,34
"Glascock County, Georgia","13125",2074,363,901,573,139,98,1787,323,767,478,129,90,261,40,117,88,10,6,15,0,7,6,0,2,11,0,10,1,0,0
"Glynn County, Georgia","13127",55092,7355,15783,17406,8661,5887,27368,4354,8920,8659,3210,2225,23188,1807,5721,7524,4684,3452,632,12,141,253,157,69,3904,1182,1001,970,610,141
"Gordon County, Georgia","13129",36097,9479,12468,9136,3049,1965,21938,4910,8476,5765,1685,1102,9644,1771,3251,2789,1058,775,103,5,11,63,0,24,4412,2793,730,519,306,64
"Grady County, Georgia","13131",16727,4520,6144,3941,1225,897,10614,2528,4331,2667,696,392,4780,1136,1557,1120,507,460,45,0,5,40,0,0,1288,856,251,114,22,45
"Greene County, Georgia","13133",11940,2458,4010,2561,1540,1371,7328,1781,3056,1460,607,424,3953,338,820,1014,918,863,42,0,19,20,2,1,617,339,115,67,13,83
"Gwinnett County, Georgia","13135",528019,66941,123206,156197,123081,58594,108181,8774,31197,34741,23008,10461,231725,9501,46272,79924,65348,30680,12246,1149,2765,3981,3076,1275,175867,47517,42972,37551,31649,16178
"Habersham County, Georgia","13137",29215,6438,10142,7815,2747,2073,17010,3519,6443,4463,1397,1188,9063,1159,3078,2888,1222,716,157,12,49,67,0,29,2985,1748,572,397,128,140
"Hall County, Georgia","13139",117557,25243,34731,30735,16421,10427,51488,8529,17612,14194,6513,4640,40882,3103,11096,13546,8190,4947,1249,203,268,445,259,74,23938,13408,5755,2550,1459,766
"Hancock County, Georgia","13141",6470,1784,2585,1412,422,267,5086,1509,2049,1097,260,171,1170,214,444,268,158,86,36,0,26,0,0,10,178,61,66,47,4,0
"Haralson County, Georgia","13143",19008,4495,7188,4702,1646,977,13426,3451,5279,3138,969,589,5060,946,1684,1421,630,379,131,0,65,55,11,0,391,98,160,88,36,9
"Harris County, Georgia","13145",22607,2378,6388,7560,3668,2613,12099,1714,3934,3980,1468,1003,9348,630,2251,3148,1937,1382,482,0,39,204,128,111,678,34,164,228,135,117
"Hart County, Georgia","13147",17753,3415,6747,5004,1613,974,10757,2244,4459,2638,863,553,6538,937,2254,2240,714,393,86,0,0,67,15,4,372,234,34,59,21,24
"Heard County, Georgia","13149",7805,1902,3107,1981,569,246,5250,1269,2234,1269,352,126,2477,628,829,695,205,120,56,0,44,0,12,0,22,5,0,17,0,0
