"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Polk County School District, Georgia","1304200",40998,7781,5600,27617,30776,5980,4264,20532,7314,1370,696,5248,84,22,0,62,2824,409,640,1775
"Gilmer County School District, Georgia","1302340",29356,5520,3298,20538,17340,3189,1908,12243,9901,1537,1191,7173,187,0,12,175,1928,794,187,947
"Fulton County School District, Georgia","1302280",574508,63280,39230,471998,227584,31369,18773,177442,241291,20278,12191,208822,7856,638,376,6842,97777,10995,7890,78892
"Franklin County School District, Georgia","1302250",21680,5503,2512,13665,15765,4279,1757,9729,5191,1035,594,3562,120,12,0,108,604,177,161,266
"Gainesville City School District, Georgia","1302310",35998,9778,4582,21638,19002,5706,2339,10957,7654,1328,652,5674,345,11,95,239,8997,2733,1496,4768
"Floyd County School District, Georgia","1302190",57792,8270,6618,42904,41768,5757,5075,30936,12996,1927,1112,9957,450,34,16,400,2578,552,415,1611
"Forsyth County School District, Georgia","1302220",210409,13643,8041,188725,83337,6647,3707,72983,90494,3706,2380,84408,2962,156,51,2755,33616,3134,1903,28579
"Glascock County School District, Georgia","1302370",2939,339,565,2035,2522,245,487,1790,391,89,76,226,12,0,2,10,14,5,0,9
"Glynn County School District, Georgia","1302400",82098,15773,8163,58162,47986,10393,5492,32101,28678,4323,1913,22442,831,63,57,711,4603,994,701,2908
"Gordon County School District, Georgia","1302430",40087,6127,4887,29073,27720,4593,3241,19886,9770,1229,1054,7487,248,28,40,180,2349,277,552,1520
