"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dade County School District, Georgia","1301590",11143,2327,3806,3458,1013,539,3418,826,1261,985,307,39,7338,1461,2472,2378,596,431,67,0,38,22,0,7,320,40,35,73,110,62
"Dalton City School District, Georgia","1301620",19914,7302,4302,4539,2535,1236,6801,1151,1841,2327,957,525,4578,627,1003,1379,1052,517,389,28,50,191,112,8,8146,5496,1408,642,414,186
"Dawson County School District, Georgia","1301650",16644,2190,4764,4517,3226,1947,8460,1551,2556,2543,1393,417,7377,475,1951,1868,1756,1327,234,0,88,14,5,127,573,164,169,92,72,76
"Pierce County School District, Georgia","1304140",12969,2352,5208,3766,851,792,9463,1555,4119,2753,423,613,3011,503,1028,906,401,173,50,24,0,22,4,0,445,270,61,85,23,6
"Pike County School District, Georgia","1304170",12147,1341,4989,3816,1346,655,8412,1035,3702,2473,812,390,3488,266,1221,1291,460,250,61,10,0,42,5,4,186,30,66,10,69,11
"Quitman County School District, Georgia","1304290",1658,493,640,387,87,51,838,293,337,124,54,30,730,175,256,249,33,17,0,0,0,0,0,0,90,25,47,14,0,4
"Randolph County School District, Georgia","1304350",4982,1311,1747,1322,344,258,3887,1184,1299,1076,179,149,954,127,424,239,61,103,0,0,0,0,0,0,141,0,24,7,104,6
"Pulaski County School District, Georgia","1304220",8466,1688,3393,2320,570,495,5842,1181,2566,1460,349,286,2371,435,805,772,156,203,65,6,7,13,33,6,188,66,15,75,32,0
"Putnam County School District, Georgia","1304260",15663,2209,5779,4317,2284,1074,9732,1390,4053,2646,1065,578,4581,441,1245,1402,1046,447,132,0,42,38,27,25,1218,378,439,231,146,24
"Rabun County School District, Georgia","1304320",12302,1995,4108,3086,1741,1372,5806,1003,2221,1331,723,528,5543,668,1617,1590,868,800,194,20,32,59,70,13,759,304,238,106,80,31
