"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Echols County School District, Georgia","1301950",3076,737,2339,380,263,573,323,314,263,57,166,1738,440,1298,207,160,218,228,210,154,30,91,891,234,657,88,67,184,95,95,74,27,27,131,21,110,30,0,37,0,0,0,0,43,316,42,274,55,36,134,0,9,35,0,5
"Effingham County School District, Georgia","1301980",44500,6521,37979,6774,3572,5246,5633,4979,4476,2085,5214,25315,3733,21582,4293,2484,2765,3202,2928,2516,1147,2247,16953,2266,14687,2234,992,2237,2174,1758,1858,798,2636,671,142,529,69,26,76,19,114,37,82,106,1561,380,1181,178,70,168,238,179,65,58,225
"Fannin County School District, Georgia","1302100",21017,2351,18666,3898,2537,3650,2704,2485,1632,525,1235,9504,1186,8318,1828,1232,1675,1421,1087,604,117,354,10873,1102,9771,1903,1254,1889,1195,1266,1004,408,852,184,1,183,49,17,6,0,89,0,0,22,456,62,394,118,34,80,88,43,24,0,7
"Elbert County School District, Georgia","1302010",15830,2318,13512,3033,2196,2760,1668,1740,1100,318,697,11692,1614,10078,2181,1737,2086,1175,1391,880,195,433,3615,559,3056,773,448,547,392,309,210,113,264,41,0,41,14,1,0,0,16,0,10,0,482,145,337,65,10,127,101,24,10,0,0
"Emanuel County School District, Georgia","1302040",17763,3374,14389,3669,1882,2976,2080,1759,986,301,736,14514,2737,11777,2995,1576,2469,1756,1328,828,203,622,2717,599,2118,625,247,397,180,314,158,98,99,92,0,92,35,30,0,18,9,0,0,0,440,38,402,14,29,110,126,108,0,0,15
"Evans County School District, Georgia","1302070",8309,1426,6883,1495,877,1317,1111,923,559,124,477,5802,1112,4690,1106,554,863,780,617,365,68,337,2046,291,1755,311,297,350,263,225,158,56,95,54,0,54,6,4,20,0,11,13,0,0,407,23,384,72,22,84,68,70,23,0,45
"Fayette County School District, Georgia","1302130",90095,14067,76028,12166,5685,9139,7514,9905,8527,4034,19058,32668,6038,26630,5515,2054,3455,2991,3858,2882,1272,4603,45382,6147,39235,5264,2895,4029,3530,4706,4540,2289,11982,1577,112,1465,222,46,206,125,333,166,15,352,10468,1770,8698,1165,690,1449,868,1008,939,458,2121
"Fort Stewart School District, Georgia","1300003",6236,1325,4911,535,287,1471,1146,831,408,126,107,846,185,661,136,18,142,90,119,103,25,28,4760,993,3767,374,194,1213,934,610,275,101,66,216,48,168,14,24,43,61,18,8,0,0,414,99,315,11,51,73,61,84,22,0,13
"Appling County School District, Georgia","1300060",14586,2384,12202,3176,1613,2336,1580,1444,901,309,843,10928,1840,9088,2339,1237,1616,1166,1090,655,277,708,2870,404,2466,663,268,562,364,224,218,32,135,48,6,42,28,0,14,0,0,0,0,0,740,134,606,146,108,144,50,130,28,0,0
"Atkinson County School District, Georgia","1300090",6257,1121,5136,1282,693,1032,778,516,462,92,281,4060,773,3287,859,469,619,420,379,248,81,212,1179,198,981,238,140,147,194,38,168,9,47,11,0,11,0,0,0,0,0,0,0,11,1007,150,857,185,84,266,164,99,46,2,11
