"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Lyndhurst Township School District, New Jersey","3409210",15297,1695,5488,3587,2852,1675,7511,421,3307,1765,1265,753,1831,195,640,405,420,171,552,86,111,114,72,169,5403,993,1430,1303,1095,582
"Madison Borough School District, New Jersey","3409240",10196,532,1607,1400,3344,3313,4355,194,808,803,1456,1094,3619,20,336,328,1385,1550,189,18,0,54,52,65,2033,300,463,215,451,604
"Old Bridge Township School District, New Jersey","3409270",47278,3459,13880,13436,11000,5503,17015,1440,6052,5240,3058,1225,15912,608,4853,4829,3780,1842,1174,188,293,323,288,82,13177,1223,2682,3044,3874,2354
"Mahwah Township School District, New Jersey","3409330",16644,703,2749,3794,5215,4183,5963,228,1161,1408,1787,1379,7034,174,1175,1685,2216,1784,191,30,63,70,28,0,3456,271,350,631,1184,1020
"Manasquan Borough School District, New Jersey","3409420",4250,86,862,989,1509,804,3140,42,638,737,1170,553,986,30,207,235,291,223,35,0,0,0,24,11,89,14,17,17,24,17
"Manchester Township School District, New Jersey","3409450",36949,4592,17197,9256,4073,1831,20237,2387,9957,4996,2094,803,12620,1397,5783,3317,1408,715,520,112,188,109,98,13,3572,696,1269,834,473,300
"Mannington Township School District, New Jersey","3409480",1279,215,568,269,137,90,798,147,372,165,75,39,373,23,154,95,53,48,28,2,23,0,0,3,80,43,19,9,9,0
"Manville Borough School District, New Jersey","3409630",7627,902,3748,1935,802,240,4149,397,2093,1154,386,119,1505,222,617,357,253,56,13,0,13,0,0,0,1960,283,1025,424,163,65
"Maple Shade Township School District, New Jersey","3409660",13375,1261,4987,3735,2348,1044,5799,387,2362,1810,972,268,5824,608,2201,1561,966,488,180,13,44,82,25,16,1572,253,380,282,385,272
"Margate City School District, New Jersey","3409690",5296,307,1286,1427,1403,873,1804,54,466,568,474,242,2921,104,674,782,830,531,60,12,0,9,25,14,511,137,146,68,74,86
"Matawan-Aberdeen Regional School District, New Jersey","3409750",19006,1247,4957,5614,4477,2711,7911,450,2576,2241,1722,922,6976,304,1650,2096,1913,1013,207,35,24,64,57,27,3912,458,707,1213,785,749
"Maurice River Township School District, New Jersey","3409780",6738,1923,3146,1203,388,78,4825,1443,2345,848,149,40,1097,191,519,271,95,21,405,178,183,44,0,0,411,111,99,40,144,17
"Maywood Borough School District, New Jersey","3409810",6862,427,2091,1735,1647,962,2908,81,1058,659,749,361,1921,78,653,518,363,309,121,1,34,57,21,8,1912,267,346,501,514,284
"Merchantville Borough School District, New Jersey","3409960",2626,394,748,694,496,294,1174,114,498,254,160,148,1001,30,228,357,286,100,106,81,15,0,0,10,345,169,7,83,50,36
"Metuchen Borough School District, New Jersey","3409990",9762,387,1480,1963,3054,2878,3774,63,855,870,1196,790,3494,132,483,794,1077,1008,106,0,24,4,16,62,2388,192,118,295,765,1018
"Middle Township School District, New Jersey","3410020",13567,1993,5000,3165,2173,1236,6493,680,2699,1589,1154,371,5690,742,1998,1427,875,648,134,31,74,8,0,21,1250,540,229,141,144,196
"Middlesex Borough School District, New Jersey","3410050",9353,679,3091,2777,2068,738,5199,345,1698,1457,1366,333,1974,102,733,527,323,289,19,0,19,0,0,0,2161,232,641,793,379,116
"Middletown Township School District, New Jersey","3410110",46046,2086,12114,11809,12373,7664,23561,962,7334,6233,6199,2833,17756,761,3807,4386,4941,3861,423,28,26,137,122,110,4306,335,947,1053,1111,860
"Midland Park Borough School District, New Jersey","3410140",5142,205,1293,895,1836,913,2931,52,783,581,1093,422,1332,42,279,173,495,343,117,0,24,22,0,71,762,111,207,119,248,77
"Millburn Township School District, New Jersey","3410200",12571,134,1086,1028,4682,5641,3772,31,484,447,1590,1220,5340,26,225,310,2103,2676,187,0,20,24,46,97,3272,77,357,247,943,1648
"Millstone Township School District, New Jersey","3410230",7018,350,1429,1508,2164,1567,3633,183,796,837,1008,809,2560,80,516,430,963,571,60,0,7,42,11,0,765,87,110,199,182,187
"Milltown Borough School District, New Jersey","3410290",5293,200,1509,1244,1511,829,3446,81,1037,822,1014,492,1110,56,265,274,299,216,41,0,0,20,21,0,696,63,207,128,177,121
"Millville City School District, New Jersey","3410320",18711,2962,7750,5023,2163,813,12614,1756,5422,3495,1470,471,4440,769,1696,1191,540,244,893,265,349,227,36,16,764,172,283,110,117,82
"Mine Hill Township School District, New Jersey","3410350",2439,328,746,731,436,198,1208,92,438,364,259,55,576,20,168,224,97,67,52,43,0,0,9,0,603,173,140,143,71,76
"Monroe Township School District (Gloucester County), New Jersey","3410470",24815,2949,8737,7036,4499,1594,11553,1014,4260,3338,2290,651,11106,1485,3898,3280,1656,787,329,82,96,88,63,0,1827,368,483,330,490,156
